ID,reasoning,type,confidence
91,"The file is a set of practical development notes. It includes environment setup commands for Julia and micromamba (PATH export, installation instructions) and R package installation order, so it fits Configuration and Environments. It gives explicit testing guidance (don’t run full test suite, pick specific models, write bespoke test scripts), so Testing applies. It focuses on benchmarking practices (use BenchmarkTools, refer to benchmarks.jl) and performance-related run advice (use -t auto), so Performance applies. It also includes a concrete run instruction (“run julia with -t auto”), which qualifies as Build and Run. It does not describe system features (system_overview), architecture, AI agent roles, deployment/CI, project management, development process for Git/PRs, security, UI/UX, maintainability guidelines, implementation code details, or debugging tips.","['build_run', 'test', 'config_environment', 'performance']",8
92,"- System Overview: No — Aside from noting it's a PowerShell wrapper in References, there is no dedicated overview or feature description.
- AI Integration: No — No instructions aimed at AI agents or tooling behavior.
- Documentation/References: Yes — Includes a Documentation section with steps to build help files and a References section linking to OpenAI API docs.
- Architecture: No — No high-level structure or component layout described.
- Implementation Details: Yes — Code style rules, use of PSScriptAnalyzer, and line endings/encoding guidance are concrete implementation guidelines.
- Build and Run: No — No app build/run commands; only test execution commands are provided.
- Testing: Yes — Provides Pester commands and guidance on running/choosing tests.
- Configuration and Environments: No — No environment setup or configuration procedures; line endings/encoding are treated as code style here.
- Deployment and Operations: No — No CI/CD or release/ops instructions.
- Project Management: No — No planning or backlog/process organization content.
- Development Process: No — Lacks Git/PR workflow or commit guidelines; test advice alone doesn’t constitute process rules.
- Performance: No — No performance tuning or optimization guidance.
- Security: No — No security considerations mentioned.
- UI/UX: No — No user interface or experience guidelines.
- Maintainability: Yes — Enforcing code style, updating help docs, and disciplined testing practices support long-term maintainability.
- Debugging: No — No debugging tips, flags, or log/trace guidance.","['documentation_references', 'implementation_details', 'test', 'maintainability']",8
93,"- system_overview: Yes — The file opens with a brief description of the repository as a TypeScript Discord bot.
- ai_integration: No — There are no role/instruction notes directed at an AI agent or integration specifics with AI tools.
- documentation_references: No — No external documents or references are provided.
- architecture: Yes — The “Project layout” section describes the directory structure and component roles.
- implementation_details: Yes — “Coding conventions” specifies code style and file placement rules.
- build_run: Yes — Notes that code is compiled with tsc via `npm start`, indicating how to run/build.
- test: Yes — Instructs to run `npm test` after changes (even if it currently exits).
- config_environment: No — No environment setup or configuration steps beyond secrets storage.
- deployment_operations: No — No CI/CD or deployment instructions.
- project_management: No — No planning or backlog/process guidance.
- development_process: No — No commit/PR workflow or version control guidelines.
- performance: No — No performance or optimization guidance.
- security: Yes — Mentions storing secrets in `secrets.json` and not committing credentials.
- ui_ux: No — No UI/UX guidelines.
- maintainability: No — No explicit maintainability principles beyond coding style (already covered in implementation details).
- debugging: No — No debugging tips or error-handling guidance.","['system_overview', 'architecture', 'implementation_details', 'build_run', 'test', 'security']",9
94,"- System Overview: No — The file provides guidelines and procedures, not a high-level description of system purpose or features.
- AI Integration: No — No instructions aimed at AI agents; ""agents never deploy"" is an ops policy, not AI tooling guidance.
- Documentation References: Yes — Explicitly references ORACLE.md, SECURITY.md, networks.json, and coverage.md to consult/update.
- Architecture: Yes — Describes project structure, module responsibilities, auto-generated proxies, and shared crates.
- Implementation Details: Yes — Coding style, naming conventions, use of guards/enums, and doc comment expectations.
- Build and Run: Yes — Concrete commands: make build, cargo test, cargo fmt/clippy, make devnet/mainnet.
- Testing: Yes — Test colocation, fixtures, coverage targets, running suites, and mock dry-runs.
- Configuration and Environments: No — Lacks environment setup steps or configuration procedures (e.g., installing deps, env vars).
- Deployment and Operations: Yes — Devnet/mainnet scripted flows, alignment of networks.json with deployments, rollback notes, and deployment roles.
- Project Management: No — No backlog/planning/roadmap; PR guidance belongs to development process.
- Development Process: Yes — Commit conventions, mandatory pre-push checks, and PR requirements.
- Performance: No — No performance optimization or QA guidance.
- Security: Yes — Invariants, access control, caps/pauses, regression tests, secrets handling, and SECURITY.md reference.
- UI/UX: No — No UI or UX guidance.
- Maintainability: Yes — Reuse shared crates, avoid duplication, auto-generated proxies, thin entrypoints, documentation practices.
- Debugging: No — No debugging tips, logs, or tracing instructions.","['documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'deployment_operations', 'development_process', 'security', 'maintainability']",8
95,"- System Overview: No — The file does not describe the project's purpose or high-level features.
- AI Integration: Yes — It explicitly states it instructs AI agents how to navigate and edit the codebase.
- Documentation References: No — No external documents or references are provided.
- Architecture: No — No high-level structure or component overview is discussed.
- Implementation Details: Yes — Provides concrete code style rules and import patterns with examples.
- Build and Run: No — No app build/run commands are given (only formatting and test commands).
- Testing: Yes — Includes how to run tests with Bun and specific expectations formatting/style.
- Configuration and Environments: Yes — Specifies using the Bun.js runtime and dprint as the formatter with usage commands.
- Deployment and Operations: No — No CI/CD, release, or ops procedures mentioned.
- Project Management: No — No planning or backlog guidance.
- Development Process: No — No Git/PR workflow or commit guidelines.
- Performance: No — No performance guidance.
- Security: No — No security considerations.
- UI/UX: No — No UI/UX guidance.
- Maintainability: No — While style rules help, there are no explicit maintainability policies beyond implementation details.
- Debugging: No — No debugging tips or error-handling guidance.","['ai_integration', 'implementation_details', 'test', 'config_environment']",8
96,"The file gives a brief description of the project (TypeScript autonomous agent on ElizaOS) and its plugin-based layout, which fits system_overview. It specifies structural conventions (plugins under src/plugin-*, registration in src/index.ts, actions/providers/services), which is architecture. It provides lightweight implementation guidance (follow existing plugin pattern; coding style uses TypeScript ES modules), which counts as implementation_details. It describes where tests live and how to run them with npm test (vitest), which is test. It does not include AI agent instructions, external documentation links, build/run app commands, environment config, CI/CD, project management, git/PR processes, performance, security, UI/UX, maintainability-specific guidance beyond general structure, or debugging tips.","['system_overview', 'architecture', 'implementation_details', 'test']",8
97,"- System Overview: Yes — The intro explains what Zoonk is, its purpose, and goals.
- AI Integration: Yes — The document is explicitly for AI agents, prescribes using Vercel AI SDK/Gateway, and asks AI agents to update the doc.
- Documentation References: Yes — Multiple links to external docs (Turborepo, Next.js, Prisma, AI SDK, streaming docs, APCA, etc.).
- Architecture: Yes — “Project structure” outlines the monorepo packages and their responsibilities.
- Implementation Details: Yes — Concrete coding conventions, CSS/Tailwind rules, Next.js params usage with code, UI behaviors, and example snippets.
- Build and Run: No — No build/run instructions or commands for starting the app beyond formatting/lint/typecheck notes.
- Testing: No — No testing guidance or commands.
- Configuration and Environments: No — No environment setup or config variables/instructions.
- Deployment and Operations: No — No CI/CD or release/ops processes.
- Project Management: No — No backlog, planning, or organizational process content.
- Development Process: No — No Git/PR/commit workflow guidelines.
- Performance: Yes — Dedicated section with profiling, re-render tracking, virtualization, CLS prevention, etc.
- Security: No — Only mentions compatibility with password managers/2FA; no security architecture or policies.
- UI/UX: Yes — Extensive guidance on interactions, animation, layout, accessibility, content, and design.
- Maintainability: Yes — Principles promoting simplicity, modularity, SOLID/DRY, and refactoring for clarity.
- Debugging: No — No debugging tips or error-handling guidance.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'performance', 'ui_ux', 'maintainability']",9
98,"- system_overview: No – the file lacks a high-level description of the system’s purpose or features.
- ai_integration: No – no instructions for or interaction with AI agents.
- documentation_references: No – no external docs or reference links provided.
- architecture: Yes – outlines project structure and where key components live (crates/, tests/, examples/).
- implementation_details: Yes – coding style, naming conventions, and error handling guidance are specified.
- build_run: Yes – includes concrete build/run commands (cargo build/run) and flags.
- test: Yes – provides test commands (cargo test) and testing guidelines/locations.
- config_environment: Yes – mentions default config file (fluent_config.toml), --config override, and env vars for overrides.
- deployment_operations: No – no release/operations/CI pipeline details beyond local pre-commit usage.
- project_management: No – no backlog, planning, or organizational process beyond commits/PRs.
- development_process: Yes – Conventional Commits, PR requirements, formatting/linting before review, pre-commit hooks.
- performance: No – no performance guidance or optimization notes.
- security: Yes – advice on secrets handling, input validation, network failure handling, and redacted logging.
- ui_ux: No – only mentions including screenshots/CLI output in PRs, not UX standards.
- maintainability: No – while conventions help indirectly, there are no explicit maintainability/maintenance principles beyond style.
- debugging: No – no debugging tips or error investigation procedures.","['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'security']",9
99,"The file is explicitly targeted at AI agents and links to agent-specific guidance (ai_integration). It references key docs like README.md and CONTRIBUTING.md (documentation_references). It outlines the monorepo structure by listing packages and their roles (architecture). It provides concrete setup/build/run commands (pnpm install, pnpm build, pnpm dev) (build_run) and includes a command to run tests (pnpm test) (test). It does not describe overall features (system_overview), environment configuration details, deployment/CI, coding standards, or other categories like security, UI/UX, debugging, etc.","['ai_integration', 'documentation_references', 'architecture', 'build_run', 'test']",9
100,"- system_overview: Yes — Provides a brief description of the RSMP Validator, its purpose, and that it’s written in Ruby using RSpec.
- ai_integration: No — No instructions or roles aimed at an AI agent.
- documentation_references: No — Mentions a docs/ directory but does not provide external links or explicit reference lists for further reading.
- architecture: Yes — The “Files” section outlines the project structure and roles of key directories.
- implementation_details: Yes — Explains how communication, schema validation, and concurrency work (rsmp, rsmp_schema, async reactor) and logging behavior for auto nodes.
- build_run: No — No general build/run commands for the application; commands provided are specific to testing workflows.
- test: Yes — Detailed instructions and commands for running tests against sites/supervisors with rspec.
- config_environment: Yes — Points to config/ directory, uses SITE_CONFIG environment variable, and notes options like prefix/path in auto node config; advises running via bundle exec to ensure proper gem environment.
- deployment_operations: No — Only mentions existence of a GitHub Actions workflow without CI/CD procedures or operational steps.
- project_management: No — No backlog, planning, or organizational guidance.
- development_process: No — Lacks Git/PR workflow or review process guidelines; the guidance given is tool usage rather than process.
- performance: No — Aside from a note that keeping TCP connections open speeds testing, there are no performance guidelines.
- security: No — No security considerations mentioned.
- ui_ux: No — No UI or UX guidelines.
- maintainability: No — No explicit maintainability principles or refactoring guidance.
- debugging: No — Minor note on verbose formatting, but no explicit debugging tips or error-handling guidance.","['system_overview', 'architecture', 'implementation_details', 'test', 'config_environment']",8
101,"- system_overview: No – the file is primarily operational guidance; it doesn’t provide a high-level description of the system’s purpose or features.
- ai_integration: Yes – it explicitly targets “LLM-driven engineering agents” and provides guidance for autonomous coding agents.
- documentation_references: No – there are no external documents or links provided.
- architecture: Yes – the repository map and “Core MCP patterns” describe structure (packages, mixins, models, servers) at a high level.
- implementation_details: Yes – includes code conventions, tool naming, error handling expectations, type hints, and docstring style.
- build_run: Yes – provides concrete commands to run the server and a mandatory dev workflow with commands.
- test: Yes – mandates tests, includes running pytest, and states tests must pass.
- config_environment: Yes – includes environment/setup steps like installing dependencies with uv and setting up pre-commit hooks.
- deployment_operations: No – no CI/CD, release, or operations guidance.
- project_management: No – no backlog, planning, or prioritization content.
- development_process: Yes – branching rules, commit requirements (trailers), and prescribed workflow steps.
- performance: No – no performance guidelines or optimizations discussed.
- security: No – mentions auth methods but provides no security policies or practices.
- ui_ux: No – no UI/UX guidance.
- maintainability: No – while conventions aid maintainability, there are no explicit maintenance-focused policies (e.g., API stability) beyond general dev rules.
- debugging: No – no debugging tips or error investigation procedures.","['ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process']",8
102,"The file outlines project structure and module organization (architecture). It provides explicit build and run commands and quick run examples (build_run), along with detailed testing commands and guidance (test). It specifies coding style and naming conventions (implementation_details). It defines commit and PR guidelines (development_process). It lists environment requirements like JDK/JRE versions (config_environment). It references other docs such as BUILD.md and README/BUILD (documentation_references). It includes security-minded advice about reviewing external dependencies and avoiding large binaries (security). It does not include a general system overview, AI agent instructions, deployment/CI details, project management/backlog planning, performance tuning, UI/UX guidance, maintainability-specific principles beyond coding style, or debugging tips.","['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'documentation_references', 'security']",9
103,"The file gives a brief description of the repo’s purpose and scope (a small VS 2022 extension mimicking Helix selection-first), which is a system overview. It is clearly written as guidelines for “agents,” indicating AI-oriented contributor instructions (ai_integration). It specifies concrete coding practices and APIs to use (C#, .NET 4.7.2, tabs, IMultiSelectionBroker, ICommandHandler<TypeCharCommandArgs>), which are implementation details and also promote maintainability (keep minimal deps, small handlers). It includes a build command (msbuild VsHelix.sln /restore) and how to launch via F5, mapping to build/run. The Testing section outlines how to verify via the Experimental Instance, so test applies. It instructs to document new commands in README.md, which fits documentation requirements/references. It also gives a lightweight PR requirement (include docs updates and compile cleanly), which fits development process. No explicit architecture, config, deployment, performance, security, UI/UX, or debugging content is provided.","['system_overview', 'ai_integration', 'documentation_references', 'implementation_details', 'build_run', 'test', 'development_process', 'maintainability']",8
104,"The file is a manifest aimed at the OpenAI Codex Fix-Build-Run harness (AI-specific instructions), and it lists environment setup steps (OS packages, Node.js, Playwright), build commands, and an end-to-end test command. Therefore, it fits ai_integration, config_environment, build_run, and test. It does not provide a general system overview, architecture, implementation details, deployment/operations processes, development workflow, project management, performance, security, UI/UX, maintainability, or debugging tips.","['ai_integration', 'build_run', 'test', 'config_environment']",9
105,"- System Overview: No – The file does not describe the project's purpose or features; it focuses on workflow and commands.
- AI Integration: Yes – Includes ""AI Review Preparation"" and instructions to address CodeRabbitAI feedback, clearly integrating AI into the process.
- Documentation References: No – Does not list external docs or references; only mentions repo paths like .nvmrc and .github/actions without documentation links.
- Architecture: Yes – Describes the monorepo structure and enumerates workspaces with their roles.
- Implementation Details: No – Provides minimal style tool references (Prettier, EditorConfig) but no concrete coding/implementation guidelines or patterns.
- Build and Run: Yes – Contains explicit setup, build, and run-related commands (yarn install/build/test, workspace-specific builds).
- Testing: Yes – Dedicated Tests section with exact test commands per workspace and notes.
- Configuration and Environments: Yes – Specifies Node.js version, nvm/corepack setup, and verification steps.
- Deployment and Operations: Yes – Mentions CI pipeline checks and prescribes shared caching actions for GitHub workflows.
- Project Management: No – While it has PR checklists, it doesn’t cover backlog planning or broader project organization.
- Development Process: Yes – Pre-PR/Post-PR checklists, commit guidelines, review steps, and workflow commands define the dev workflow.
- Performance: No – Only mentions verifying benchmarks; no performance guidance or optimization details.
- Security: No – Mentions flagging security-sensitive changes but lacks security models/policies or detailed practices.
- UI/UX: No – No UI/UX standards or guidelines.
- Maintainability: No – General quality checks are present, but no explicit maintenance strategies beyond formatting/linting.
- Debugging: No – No debugging tips or error-handling guidance.","['ai_integration', 'architecture', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process']",8
106,"Per-label assessment:
- System Overview: Yes — Provides a high-level guide to Cartography intel modules, sync pattern, and overall module purpose and flow.
- AI Integration: Yes — Explicitly addressed to AI coding assistants with role-oriented guidance and quick reference.
- Documentation and References: Yes — Points to specific file paths and a reference document (docs/root/dev/writing-intel-modules.md) plus critical files list.
- Architecture: Yes — Describes module structure, data model architecture (nodes/relationships), tenant scoping, and ontology integration at a high level.
- Implementation Details: Yes — Contains concrete code examples, patterns (get/transform/load/cleanup), decorators, schema field definitions, and do/don’t guidance.
- Build and Run: No — No build or run commands or processes are provided.
- Testing: No — Although listed in the TOC, there are no testing procedures or commands in the provided content.
- Configuration and Environments: No — Mentions config objects in code, but no environment setup or configuration procedures/instructions.
- Deployment and Operations: No — No CI/CD or deployment procedures.
- Project Management: No — No planning or backlog processes.
- Development Process: No — No Git/PR/review workflow guidance.
- Performance: Yes — Explicit performance cautions about MatchLinks and preferring standard schemas for efficiency.
- Security: No — While tenant relationships mention access control conceptually, there are no security guidelines or practices.
- UI/UX: No — No user interface or experience guidance.
- Maintainability: Yes — Emphasizes consistent schema usage, avoiding custom fields, standard patterns, and common mistakes to ensure consistent, maintainable code.
- Debugging: No — No debugging commands or procedures (troubleshooting only appears in TOC).","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'performance', 'maintainability']",8
107,"Present: Architecture—explicit repository layout and components; Implementation Details—coding style and linting commands (ruff, ESLint) with specific rules; Testing—how to run pytest, where tests live, and notes on TS tests; Configuration and Environments—requires a .env with specified variables and references .env.example; Build and Run—command to start services locally via docker-compose. Not present: System Overview (no feature/purpose description), AI Integration (no agent instructions), Deployment/Operations (no CI/CD), Development Process/Project Management/Performance/Security/UI/UX/Maintainability/Debugging (none addressed).","['architecture', 'implementation_details', 'build_run', 'test', 'config_environment']",9
108,"- system_overview: No — The guide does not describe the product’s purpose or features; it focuses on guidelines and structure.
- ai_integration: Yes — It’s explicitly an AGENTS.md with guidance for AI agents interacting with the codebase.
- documentation_references: No — It mentions “Reference relevant documentation” but provides no specific documents or links.
- architecture: Yes — The “Project Structure for Agent Navigation” lists key directories and their roles.
- implementation_details: Yes — Contains coding conventions, async patterns, and error handling practices.
- build_run: No — No build or run commands are provided.
- test: No — Only says “Ensure all tests pass,” without test commands or procedures.
- config_environment: No — Briefly mentions using environment variables but no setup or configuration steps.
- deployment_operations: No — Mentions a scripts folder including deployment scripts, but no CI/CD or operational procedures.
- project_management: No — No backlog, roadmap, or planning/organization guidance.
- development_process: Yes — Branch naming, PR guidelines, commit message format, and pre-commit checks are covered.
- performance: Yes — Dedicated “Performance Considerations” section with optimization guidance.
- security: Yes — Dedicated “Security Best Practices” section with concrete guidance.
- ui_ux: No — No UI/UX standards or guidelines beyond noting a frontend directory.
- maintainability: No — While conventions improve quality, there’s no explicit maintenance/stability policy (e.g., preserving public interfaces).
- debugging: No — No debugging tips, commands, or troubleshooting guidance.","['ai_integration', 'architecture', 'implementation_details', 'development_process', 'performance', 'security']",8
109,"- system_overview: Yes. Contains a clear Project Overview with core features and design principles.
- ai_integration: Yes. The file is an AGENTS.md aimed at AI agents with guidance tailored for them.
- documentation_references: Yes. References the docs/ directory and a docs CLI command for further documentation.
- architecture: Yes. Describes Architecture & Core Concepts, codebase package structure, and CLI command structure.
- implementation_details: Yes. Provides concrete steps for adding platforms/commands, code snippets, tools, and interfaces to implement.
- build_run: Yes. Makefile build targets and run instructions (Running Locally section) are provided.
- test: Yes. Dedicated Testing Strategy with unit/integration test commands and patterns.
- config_environment: Yes. Lists prerequisites (Go, Python, CGO), environment variables (telemetry), and tags affecting builds.
- deployment_operations: No. Mentions possible environments (EC2/GitHub Actions) but no CI/CD or deployment procedures.
- project_management: No. No backlog, planning, or prioritization guidance.
- development_process: Yes. Contributing guidelines and Development Workflow steps (format, test, build before commit).
- performance: No. No performance tuning or optimization guidance.
- security: No. Brief mention of secrets management but no security practices or models.
- ui_ux: No. VS Code extension is mentioned, but no UI/UX standards or guidelines.
- maintainability: No. While code style is covered, there are no explicit maintainability principles or policies beyond general implementation steps.
- debugging: Yes. Sections on Debugging Integration Tests and using render/internal commands for debugging.
","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'debugging']",9
110,"This contributor guide includes concrete commands to install dependencies and run/build the app (pnpm install/dev/build), which fits Build and Run. It specifies required tool versions (Node.js and pnpm), which is Configuration and Environments. It lists how to run tests, including focusing a single test and mirroring CI checks, so Testing applies. It references CI configuration location and explains how to mirror CI checks locally, which relates to Deployment and Operations (CI). It gives a PR title convention using Angular/Conventional Commits, which is Development Process. It instructs not to modify translation JSON files as they are managed separately, a guideline that supports codebase stability, fitting Maintainability.","['build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'maintainability']",8
111,"Per-label decisions:
- system_overview: No — The file focuses on architecture, commands, and guidelines rather than a high-level product overview and features.
- ai_integration: No — No instructions aimed at an AI agent or integration with agentic tools.
- documentation_references: No — No external docs or reference lists provided.
- architecture: Yes — Includes repository structure, core classes, design patterns, and architectural principles.
- implementation_details: Yes — Provides step-by-step connector development, key files, coding patterns, error handling specifics, and detailed implementation guidelines.
- build_run: Yes — Lists concrete build/run commands (npm, turborepo, Docker) and workflow notes.
- test: Yes — Provides testing commands, tools (Jest, mockttp), snapshot testing guidance, and acceptance test script.
- config_environment: Yes — Specifies Node/npm versions, nvm usage, tsconfig settings (experimentalDecorators), engines.node management, and toolchain choices.
- deployment_operations: No — No CI/CD, release, or production ops procedures described.
- project_management: No — No backlog, planning, or organizational process content.
- development_process: No — Lacks Git/PR/commit conventions; the workflow note is build/test related, not process governance.
- performance: Yes — Advises memoization/caching for frequently called API methods and resilient patterns affecting performance.
- security: No — No security model, permissions, or hardening guidance.
- ui_ux: No — No UI/UX standards or user-facing behavior guidance.
- maintainability: Yes — Emphasizes code reuse via shared libs, separation of concerns, UID consistency, and config-code synchronization to improve long-term maintainability.
- debugging: Yes — Contains explicit error handling strategies (VError usage, try/catch, configurable error thresholds), which fall under debugging/error handling guidance.","['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'performance', 'maintainability', 'debugging']",8
112,"- system_overview: Yes — Provides purpose (“demo application for showcasing plain HTML, CSS, HTMX and Kotlin”) and a tech stack list.
- ai_integration: No — No instructions aimed at AI agents.
- documentation_references: Yes — Repeated references to docs/plan.md, docs/features.md, improvement-tasks.md, /doc directory, and README.md.
- architecture: Yes — High-level organizational principles (domain-driven package structure, separation between domain and infrastructure) qualify as architectural guidance.
- implementation_details: Yes — Concrete coding guidelines (naming conventions, code principles, Jackson data binding approach, use of test data builders, UUIDs).
- build_run: Yes — Specific commands to build, run, and package (./gradlew build, shadowJar, run, npm build for postcss, ktlint commands).
- test: Yes — Commands to run tests and detailed testing practices (TDD steps, fakes vs mocks, AAA pattern, guidance on what to test).
- config_environment: Yes — Development setup prerequisites (Mise, Java 21, Git) and environment-related notes (npm dependencies for postcss).
- deployment_operations: No — No CI/CD or operational deployment procedures described.
- project_management: Yes — Task management process using docs/plan.md and improvement-tasks.md with statuses and audit trail requirements.
- development_process: Yes — Explicit development workflow steps centered on TDD and formatting/verification.
- performance: No — No performance/optimization guidance.
- security: No — No security considerations or policies.
- ui_ux: No — No UI/UX standards or guidelines.
- maintainability: Yes — Emphasis on practices that enhance long-term maintainability (DDD, small services, DI, immutability, refactoring cleanup).
- debugging: No — No debugging tips or error-handling guidance.","['system_overview', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'project_management', 'development_process', 'maintainability']",9
113,"The file lists concrete build and run commands (just dev, cargo run, dev-api, dashboard commands) and testing commands (just test, cargo nextest, dashboard tests), which map to build_run and test. It provides detailed code style and implementation guidance (Rust 2024 edition, import ordering, rustfmt/clippy, eyre, tokio, tracing, test annotations), fitting implementation_details. It also sets a Git convention (use Conventional Commits), which aligns with development_process. It does not describe system overview or architecture, provide environment setup beyond a brief mention of dev.env, reference documentation, define CI/CD pipelines or deployment operations, cover UI/UX, security, performance, maintainability principles, debugging tips, or AI agent role/integration instructions.","['implementation_details', 'build_run', 'test', 'development_process']",8
114,"- System Overview: Yes — Includes a clear Project Overview and tech stack summary.
- AI Integration: Yes — Explicit agent-focused guidelines, roles/behavior, modifiable/protected directories, and prompt structures.
- Documentation References: No — Does not list external docs/links; only mentions a docs directory and .prettierrc reference without a references section.
- Architecture: Yes — Describes project structure, layer responsibilities (controllers/services/repos/resources/requests), and React app organization.
- Implementation Details: Yes — Coding conventions, naming rules, component structures, API examples, migrations, and response formats.
- Build and Run: Yes — Commands for dev servers, production build, and Laravel optimization.
- Testing: Yes — Testing requirements and commands for backend/frontend and type checking; code quality tools listed.
- Configuration and Environments: Yes — Environment-specific guidance (dev/testing/production) and notes on critical config files like .env.
- Deployment and Operations: No — No CI/CD or deployment pipeline instructions beyond noting Docker and protected .github.
- Project Management: No — No backlog/roadmap or planning artifacts; PR template is process-oriented.
- Development Process: Yes — Branch naming, conventional commits, PR template, review checklist, and code review focus.
- Performance: Yes — Dedicated performance considerations (eager loading, caching, React.memo, pagination) and index guidance.
- Security: Yes — Security rules (validation, authorization, XSS/SQLi prevention, dependency review).
- UI/UX: Yes — Accessibility requirements and UI framework usage (shadcn/ui) with component guidance.
- Maintainability: Yes — Layered architecture, coding standards, continuous improvement and review checklist promote maintainability.
- Debugging: No — No debugging tips, env flags, or troubleshooting commands provided.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'performance', 'security', 'ui_ux', 'maintainability']",9
115,"- System Overview: Yes. Provides a high-level repo description and what top-level directories are for.
- AI Integration: No. No instructions or roles directed at an AI agent.
- Documentation References: Yes. Points to CONTRIBUTING.md and mentions the docs directory/commands.
- Architecture: Yes. Describes monorepo structure (packages, examples, docs) and per-package configs.
- Implementation Details: No. No coding style or specific implementation guidance.
- Build and Run: Yes. Lists pnpm scripts and step-by-step commands to build and run example apps.
- Testing: Yes. Mentions running tests via `pnpm test` (Jest across packages).
- Configuration and Environments: Yes. Specifies Node.js version >=22 requirement.
- Deployment and Operations: No. No CI/CD or deployment procedures.
- Project Management: No. Only a brief contributing note without planning/roadmap content.
- Development Process: No. No git/PR workflow or commit conventions.
- Performance: No. No performance guidance.
- Security: No. No security considerations.
- UI/UX: No. No UI/UX guidance.
- Maintainability: No. Aside from a brief contributing note, no maintainability principles.
- Debugging: No. No debugging tips or commands.","['system_overview', 'documentation_references', 'architecture', 'build_run', 'test', 'config_environment']",8
116,"This file outlines workflow and coding guidelines. It includes Development Process (commit/PR rules, conventional commits, PR description requirements, single-purpose PRs), Implementation Details (formatting with black/prettier, flake8 linting, pre-commit usage, dependency policy via pyproject.toml), Testing (run pytest and npm test; PR must mention test results), and Documentation/References (document major changes in docs/, summaries must cite changed files, explain complex logic in comments, limit AGENTS.md length). It also supports Maintainability (small, focused commits; single-purpose PRs; commenting complex logic). It does not cover system overview, architecture, build/run, environment setup, deployment/operations, performance, security, UI/UX, or debugging. The AGENTS.md mention is a documentation constraint, not AI integration instructions.","['documentation_references', 'implementation_details', 'test', 'development_process', 'maintainability']",8
117,"- system_overview: No — The content does not describe the project's purpose, features, or scope.
- ai_integration: No — There are no instructions aimed at or about AI agents.
- documentation_references: Yes — It links to an external commit message guideline (cbea.ms/git-commit/) as a reference.
- architecture: No — No high-level structure or component descriptions.
- implementation_details: No — No code-level implementation guidance or style rules beyond general process.
- build_run: No — No build or run commands are provided.
- test: Yes — Explicit guidance to run pytest and to always add tests.
- config_environment: No — No environment setup or configuration instructions.
- deployment_operations: No — No CI/CD or operational deployment info.
- project_management: No — No planning/backlog/prioritization guidance.
- development_process: Yes — Git workflow (rebase vs merge) and commit message conventions are specified.
- performance: No — No optimization or performance notes.
- security: No — No security considerations mentioned.
- ui_ux: No — No UI/UX guidance.
- maintainability: No — While adding tests improves maintainability, the content is framed as testing/process rules rather than maintainability guidelines.
- debugging: No — No debugging tips or error-handling guidance.","['documentation_references', 'test', 'development_process']",9
118,"- system_overview: Yes. Contains a concise description of the Nextcloud Desktop Client and its purpose.
- ai_integration: Yes. File is explicitly AGENTS.md with instructions for AI agents, including allowed directory actions and PR behavior.
- documentation_references: No. No external docs or reference lists provided.
- architecture: Yes. Provides a project structure table describing a directory and its purpose.
- implementation_details: Yes. Specifies SPDX header content and placement, which is a coding/style implementation detail.
- build_run: No. No commands or steps to build/run the app.
- test: No. No testing instructions or commands.
- config_environment: No. No environment or configuration setup details.
- deployment_operations: No. No CI/CD or release/ops procedures.
- project_management: No. No backlog, planning, or organizational process guidance.
- development_process: Yes. Commit and PR guidelines tied to Git workflow.
- performance: No. No performance guidance.
- security: No. Licensing header noted but no security model/practices.
- ui_ux: No. No UI/UX guidance.
- maintainability: No. While headers/commits help quality, no explicit maintainability guidance beyond that.
- debugging: No. No debugging tips or error-handling guidance.","['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'development_process']",9
