#,repository_owner,repository_name,source_dataset,stargazers_count,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
141,bbfox0703,Mydev-Cheat-Engine-Tables,claude,25,https://github.com/bbfox0703/Mydev-Cheat-Engine-Tables/blob/main/CLAUDE.md,System Overview,Architecture,Implementation Details,Development Process,Documentation,Claude/AI Integration,,,,,,,,,
142,riffcc,flagship,claude,10,https://github.com/riffcc/flagship/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Implementation Details,Maintanability,,,,,,,,,
143,getsentry,launchpad,claude,5,https://github.com/getsentry/launchpad/blob/main/CLAUDE.md,System Overview,Architecture,Configuration & Environment,Build & Run,Test,Development Process,Performance,Implementation Details,Debugging,,,,,,
144,ar-io,ar-io-node,claude,109,https://github.com/ar-io/ar-io-node/blob/main/CLAUDE.md,Documentation,Deployment and Operations,Architecture,Test,Implementation Details,System Overview,Development Process,Maintanability,Build & Run,,,,,,
145,komura-c,MusiL,claude,9,https://github.com/komura-c/MusiL/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Deployment and Operations,Configuration & Environment,,,,,,,,,
146,buger,probe,claude,387,https://github.com/buger/probe/blob/main/CLAUDE.md,System Overview,Test,Debugging,Implementation Details,Performance,Project Management,Architecture,Development Process,Maintanability,,,,,,
147,alexanderthclark,Matplotlib-for-Storytellers,claude,32,https://github.com/alexanderthclark/Matplotlib-for-Storytellers/blob/main/CLAUDE.md,System Overview,Build & Run,Configuration & Environment,Architecture,Development Process,Implementation Details,,,,,,,,,
148,Melvynx,saveit.now,claude,17,https://github.com/Melvynx/saveit.now/blob/main/CLAUDE.md,Build & Run,UI/UX,Architecture,Configuration & Environment,Deployment and Operations,Maintanability,Development Process,,,,,,,,
149,sugyan,claude-code-webui,claude,640,https://github.com/sugyan/claude-code-webui/blob/main/CLAUDE.md,Implementation Details,Build & Run,Architecture,System Overview,Configuration & Environment,Test,Development Process,Maintanability,Debugging,Deployment and Operations,Claude/AI Integration,,,,
150,miurla,morphic,claude,8271,https://github.com/miurla/morphic/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Configuration & Environment,Development Process,Maintanability,,,,,,,,,
151,knyga,html2thermal,claude,47,https://github.com/knyga/html2thermal/blob/master/CLAUDE.md,Test,Implementation Details,System Overview,,,,,,,,,,,,
152,Shinyaigeek,shinyaigeek.dev,claude,9,https://github.com/Shinyaigeek/shinyaigeek.dev/blob/main/CLAUDE.md,Architecture,Build & Run,Test,Maintanability,Deployment and Operations,,,,,,,,,,
153,evmts,tevm-monorepo,claude,408,https://github.com/evmts/tevm-monorepo/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Implementation Details,Configuration & Environment,Documentation,Development Process,Maintanability,Debugging,,,,,,
154,ajanraj,OpenChat,claude,102,https://github.com/ajanraj/OpenChat/blob/main/CLAUDE.md,Claude/AI Integration,System Overview,Implementation Details,Architecture,Build & Run,Maintanability,Test,Documentation,UI/UX,Performance,Development Process,,,,
155,op-rs,kona,claude,262,https://github.com/op-rs/kona/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,Architecture,Configuration & Environment,Maintanability,,,,,,,,,
156,reinier,dotfiles,claude,8,https://github.com/reinier/dotfiles/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Project Management,Configuration & Environment,,,,,,,,,
157,basicmachines-co,basic-memory,claude,1949,https://github.com/basicmachines-co/basic-memory/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Implementation Details,Architecture,Claude/AI Integration,Development Process,,,,,,,,
158,SecDev-Lab,sprout,claude,7,https://github.com/SecDev-Lab/sprout/blob/main/CLAUDE.md,Claude/AI Integration,Documentation,Development Process,Build & Run,Test,Maintanability,Configuration & Environment,Deployment and Operations,,,,,,,
159,safety-research,safety-tooling,claude,77,https://github.com/safety-research/safety-tooling/blob/main/CLAUDE.md,System Overview,Claude/AI Integration,Development Process,Architecture,Debugging,Test,Implementation Details,Documentation,Performance,Security,Configuration & Environment,,,,
160,basher83,ProxmoxMCP,claude,10,https://github.com/basher83/ProxmoxMCP/blob/main/CLAUDE.md,Build & Run,Test,Debugging,Architecture,Implementation Details,Security,Development Process,Performance,Configuration & Environment,,,,,,
161,yuneco,canvas-draw-styled-text,claude,38,https://github.com/yuneco/canvas-draw-styled-text/blob/main/CLAUDE.md,Build & Run,Test,Architecture,System Overview,Maintanability,,,,,,,,,,
162,ryanaidilp,stadata_flutter_sdk,claude,18,https://github.com/ryanaidilp/stadata_flutter_sdk/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Project Management,Development Process,Configuration & Environment,Security,Maintanability,Debugging,,,,
163,amun-ai,hypha,claude,19,https://github.com/amun-ai/hypha/blob/main/CLAUDE.md,System Overview,Architecture,Implementation Details,Security,Documentation,Development Process,Test,,,,,,,,
164,langchain-ai,langchain,claude,117487,https://github.com/langchain-ai/langchain/blob/master/CLAUDE.md,Implementation Details,Maintanability,Test,Security,Documentation,Architecture,Build & Run,Development Process,,,,,,,
165,lfnovo,esperanto,claude,49,https://github.com/lfnovo/esperanto/blob/main/CLAUDE.md,System Overview,Development Process,Test,Maintanability,Claude/AI Integration,,,,,,,,,,
166,elizaOS,eliza,claude,17004,https://github.com/elizaOS/eliza/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Maintanability,Implementation Details,Development Process,Configuration & Environment,Documentation,Debugging,,,,,
167,pdm-project,pdm,claude,8480,https://github.com/pdm-project/pdm/blob/main/CLAUDE.md,,,,,,,,,,,,,,,
168,rainbow-me,browser-extension,claude,187,https://github.com/rainbow-me/browser-extension/blob/master/CLAUDE.md,System Overview,Configuration & Environment,Build & Run,Test,Architecture,Security,Development Process,Maintanability,,,,,,,
169,sorryhyun,DiPeO,claude,11,https://github.com/sorryhyun/DiPeO/blob/main/CLAUDE.md,System Overview,Build & Run,Documentation,Claude/AI Integration,Architecture,Development Process,Debugging,,,,,,,,
170,FluidGroup,Brightroom,claude,3582,https://github.com/FluidGroup/Brightroom/blob/main/CLAUDE.md,System Overview,Build & Run,Architecture,Development Process,UI/UX,,,,,,,,,,
171,stid,Apple1JS,claude,12,https://github.com/stid/Apple1JS/blob/master/CLAUDE.md,Development Process,Claude/AI Integration,Project Management,Debugging,Test,Build & Run,Documentation,System Overview,UI/UX,Security,Deployment and Operations,Maintanability,,,
172,aaronjmars,tweazy,claude,20,https://github.com/aaronjmars/tweazy/blob/main/CLAUDE.md,Build & Run,Architecture,System Overview,Configuration & Environment,Security,Test,Maintanability,,,,,,,,
173,bitsacco,os,claude,10,https://github.com/bitsacco/os/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,,,,,,,,,,,,
174,bdougie,contributor.info,claude,18,https://github.com/bdougie/contributor.info/blob/main/CLAUDE.md,Build & Run,System Overview,Project Management,Configuration & Environment,Implementation Details,Documentation,UI/UX,Security,Test,Maintanability,,,,,
175,Veloera,Veloera,claude,1382,https://github.com/Veloera/Veloera/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,,,,,,,,,,,,
176,d-kimuson,claude-crew,claude,41,https://github.com/d-kimuson/claude-crew/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,Maintanability,,,,,,,,,,,
177,Clarity-Digital-Twin,big-mood-detector,claude,29,https://github.com/Clarity-Digital-Twin/big-mood-detector/blob/main/CLAUDE.md,Build & Run,Test,Architecture,System Overview,Development Process,Debugging,Performance,Claude/AI Integration,Configuration & Environment,Implementation Details,,,,,
178,cloudposse,atmos,claude,1170,https://github.com/cloudposse/atmos/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Development Process,Implementation Details,Maintanability,,,,,,,,
179,moosefs,pve-moosefs,claude,18,https://github.com/moosefs/pve-moosefs/blob/main/CLAUDE.md,Implementation Details,Development Process,Build & Run,Test,Documentation,,,,,,,,,,
180,Medo42,Faucet-Lobby,claude,5,https://github.com/Medo42/Faucet-Lobby/blob/master/CLAUDE.md,Claude/AI Integration,Implementation Details,Development Process,Build & Run,System Overview,Architecture,Maintanability,,,,,,,,
181,serendie,serendie,claude,39,https://github.com/serendie/serendie/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,UI/UX,Maintanability,,,,,,,,,
182,ThreatFlux,githubWorkFlowChecker,claude,5,https://github.com/ThreatFlux/githubWorkFlowChecker/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Maintanability,Security,,,,,,,,,
183,vgijssel,setup,claude,8,https://github.com/vgijssel/setup/blob/main/CLAUDE.md,Architecture,Build & Run,Maintanability,Implementation Details,Configuration & Environment,Deployment and Operations,,,,,,,,,
184,waldzellai,adk-typescript,claude,77,https://github.com/waldzellai/adk-typescript/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,Architecture,Maintanability,,,,,,,,,,
185,TrueCrimeAudit,ClautoHotkey,claude,7,https://github.com/TrueCrimeAudit/ClautoHotkey/blob/main/CLAUDE.md,System Overview,Architecture,Implementation Details,Development Process,Documentation,Test,Maintanability,Build & Run,,,,,,,
186,quantified-uncertainty,roast-my-post,claude,11,https://github.com/quantified-uncertainty/roast-my-post/blob/main/CLAUDE.md,System Overview,Architecture,Security,Implementation Details,Development Process,Build & Run,Test,Documentation,Maintanability,,,,,,
187,deeeed,expo-audio-stream,claude,222,https://github.com/deeeed/expo-audio-stream/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Debugging,Claude/AI Integration,Implementation Details,Development Process,Configuration & Environment,Documentation,Maintanability,,,,
188,hedoluna,fft,claude,11,https://github.com/hedoluna/fft/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Performance,Architecture,Implementation Details,Debugging,Deployment and Operations,Documentation,Maintanability,Configuration & Environment,,,,
189,syntaxfm,website,claude,1157,https://github.com/syntaxfm/website/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Implementation Details,UI/UX,System Overview,Development Process,Maintanability,Deployment and Operations,,,,,,
190,pedramamini,RewindMCP,claude,12,https://github.com/pedramamini/RewindMCP/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Configuration & Environment,Implementation Details,Development Process,Debugging,Security,,,,,,
191,anyproto,anytype-raycast,claude,18,https://github.com/anyproto/anytype-raycast/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Implementation Details,Maintanability,,,,,,,,,,
192,promptfoo,promptfoo,claude,8747,https://github.com/promptfoo/promptfoo/blob/main/CLAUDE.md,Build & Run,Architecture,Claude/AI Integration,Development Process,Documentation,Maintanability,,,,,,,,,
193,ruvnet,claude-flow,claude,9047,https://github.com/ruvnet/claude-flow/blob/main/CLAUDE.md,Claude/AI Integration,Implementation Details,System Overview,Development Process,Build & Run,Documentation,Performance,,,,,,,,
194,hivesolutions,appier,claude,130,https://github.com/hivesolutions/appier/blob/master/CLAUDE.md,Test,Maintanability,Architecture,Configuration & Environment,Implementation Details,Build & Run,,,,,,,,,
195,avalan-ai,avalan,claude,29,https://github.com/avalan-ai/avalan/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Development Process,Maintanability,Implementation Details,,,,,,,,,
196,shopware,shopware-cli,claude,104,https://github.com/shopware/shopware-cli/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Configuration & Environment,Development Process,Debugging,Maintanability,,,,,,,,
197,nyvyn,helpful.computer,claude,8,https://github.com/nyvyn/helpful.computer/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Configuration & Environment,Implementation Details,Development Process,,,,,,,,
198,cablehead,http-nu,claude,48,https://github.com/cablehead/http-nu/blob/main/CLAUDE.md,Development Process,Maintanability,Deployment and Operations,,,,,,,,,,,,
199,,,claude,124,https://github.com/Freika/dawarich/blob/master/CLAUDE.md,System Overview,Architecture,Configuration & Environment,Test,Security,Implementation Details,Deployment and Operations,Maintanability,Build & Run,Development Process,,,,,
200,pathintegral-institute,mcpm.sh,claude,767,https://github.com/pathintegral-institute/mcpm.sh/blob/main/CLAUDE.md,Implementation Details,Development Process,Configuration & Environment,Maintanability,,,,,,,,,,,
201,Data-Simply,pyretailscience,claude,8,https://github.com/Data-Simply/pyretailscience/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,,,,,,,,,,,,
202,GaloyMoney,lana-bank,claude,37,https://github.com/GaloyMoney/lana-bank/blob/main/CLAUDE.md,Build & Run,Test,Implementation Details,,,,,,,,,,,,
203,deref,transcript,claude,7,https://github.com/deref/transcript/blob/main/CLAUDE.md,Build & Run,Test,,,,,,,,,,,,,
204,xlnfinance,xln,claude,92,https://github.com/xlnfinance/xln/blob/main/CLAUDE.md,Implementation Details,Debugging,Claude/AI Integration,System Overview,Architecture,Build & Run,Test,Security,Performance,,,,,,
205,antimetal,system-agent,claude,8,https://github.com/antimetal/system-agent/blob/main/CLAUDE.md,Claude/AI Integration,System Overview,Architecture,Build & Run,Test,Development Process,Performance,Configuration & Environment,Security,Debugging,Documentation,Maintanability,Deployment and Operations,,
206,0x-j,aptos-full-stack-template,claude,18,https://github.com/0x-j/aptos-full-stack-template/blob/main/CLAUDE.md,System Overview,Architecture,Development Process,Test,Configuration & Environment,Maintanability,,,,,,,,,
207,ithacaxyz,account,claude,293,https://github.com/ithacaxyz/account/blob/main/CLAUDE.md,Claude/AI Integration,Implementation Details,Security,Build & Run,Debugging,Test,Configuration & Environment,Development Process,,,,,,,
208,Azure,fleet,claude,220,https://github.com/Azure/fleet/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Development Process,Implementation Details,Maintanability,,,,,,,,
209,ktaka-ccmp,oauth2-passkey,claude,9,https://github.com/ktaka-ccmp/oauth2-passkey/blob/master/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Development Process,Implementation Details,Maintanability,Configuration & Environment,,,,,,,
210,twentyhq,twenty,claude,36117,https://github.com/twentyhq/twenty/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Implementation Details,Development Process,Maintanability,,,,,,,,
211,alchemiststudiosDOTai,tinyAgent,claude,77,https://github.com/alchemiststudiosDOTai/tinyAgent/blob/master/CLAUDE.md,Claude/AI Integration,Development Process,Architecture,Build & Run,Test,Implementation Details,Configuration & Environment,Debugging,,,,,,,
212,johnlindquist,get-rules,claude,24,https://github.com/johnlindquist/get-rules/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Implementation Details,Deployment and Operations,,,,,,,,,
213,OpenCut-app,OpenCut,claude,42249,https://github.com/OpenCut-app/OpenCut/blob/main/CLAUDE.md,System Overview,Build & Run,Architecture,Development Process,Implementation Details,Configuration & Environment,Maintanability,,,,,,,,
214,shunkakinoki,dotfiles,claude,6,https://github.com/shunkakinoki/dotfiles/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Configuration & Environment,Implementation Details,Development Process,Deployment and Operations,Documentation,Debugging,,,,,
215,invokable,laravel-bluesky,claude,40,https://github.com/invokable/laravel-bluesky/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Configuration & Environment,Implementation Details,Debugging,Maintanability,,,,,,,
216,alestic,abc,claude,14,https://github.com/alestic/abc/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Configuration & Environment,,,,,,,,,
217,jdx,mise,claude,20588,https://github.com/jdx/mise/blob/main/CLAUDE.md,Build & Run,Test,Debugging,Documentation,Architecture,Configuration & Environment,Development Process,Implementation Details,,,,,,,
218,Nantero1,ai-first-devops-toolkit,claude,12,https://github.com/Nantero1/ai-first-devops-toolkit/blob/main/CLAUDE.md,Build & Run,Test,Architecture,System Overview,Implementation Details,Deployment and Operations,Documentation,Performance,Security,Development Process,,,,,
219,pomerium,mcp-app-demo,claude,53,https://github.com/pomerium/mcp-app-demo/blob/main/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Configuration & Environment,Maintanability,Claude/AI Integration,,,,,,,
220,juanibiapina,dotfiles,claude,13,https://github.com/juanibiapina/dotfiles/blob/main/CLAUDE.md,System Overview,Architecture,Configuration & Environment,Development Process,,,,,,,,,,,
221,ubie-oss,slack-mcp-server,claude,107,https://github.com/ubie-oss/slack-mcp-server/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Configuration & Environment,Implementation Details,Maintanability,Development Process,,,,,,,
222,jakub-k-slys,substack-api,claude,22,https://github.com/jakub-k-slys/substack-api/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Development Process,Maintanability,,,,,,,,,,
223,kesslerio,attio-mcp-server,claude,21,https://github.com/kesslerio/attio-mcp-server/blob/main/CLAUDE.md,Development Process,Claude/AI Integration,Test,Deployment and Operations,System Overview,Debugging,Maintanability,Performance,Documentation,,,,,,
224,blokadaorg,blokada,claude,3151,https://github.com/blokadaorg/blokada/blob/main/CLAUDE.md,System Overview,Architecture,Development Process,Build & Run,Test,Implementation Details,,,,,,,,,
225,kajidog,mcp-tts-voicevox,claude,9,https://github.com/kajidog/mcp-tts-voicevox/blob/main/CLAUDE.md,Build & Run,Test,Architecture,System Overview,Development Process,Configuration & Environment,Implementation Details,Maintanability,,,,,,,
226,,,claude,5,https://github.com/aldinokemal/go-whatsapp-web-multidevice/blob/main/CLAUDE.md,Build & Run,Test,Architecture,Configuration & Environment,Implementation Details,,,,,,,,,,
227,dailydotdev,apps,claude,942,https://github.com/dailydotdev/apps/blob/main/CLAUDE.md,Architecture,Build & Run,Test,System Overview,Implementation Details,Maintanability,,,,,,,,,
228,malgo-lang,malgo,claude,45,https://github.com/malgo-lang/malgo/blob/master/CLAUDE.md,Build & Run,Test,Architecture,Development Process,Debugging,,,,,,,,,,
229,bbuchsbaum,bidser,claude,6,https://github.com/bbuchsbaum/bidser/blob/master/CLAUDE.md,Build & Run,Test,Documentation,Architecture,Configuration & Environment,Development Process,,,,,,,,,
230,umputun,spot,claude,466,https://github.com/umputun/spot/blob/master/CLAUDE.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Debugging,Development Process,Configuration & Environment,Maintanability,,,,,,
231,SoftFever,OrcaSlicer,claude,11181,https://github.com/SoftFever/OrcaSlicer/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Development Process,Implementation Details,Performance,,,,,,,,
232,getsentry,sentry-java,claude,1265,https://github.com/getsentry/sentry-java/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Development Process,Architecture,Implementation Details,Claude/AI Integration,Documentation,Maintanability,,,,,,
233,SAIB-Inc,Chrysalis,claude,10,https://github.com/SAIB-Inc/Chrysalis/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Implementation Details,Architecture,Development Process,Performance,,,,,,,,
234,ivangrynenko,cursorrules,claude,51,https://github.com/ivangrynenko/cursorrules/blob/main/CLAUDE.md,System Overview,Test,Architecture,Deployment and Operations,Debugging,Security,Claude/AI Integration,Maintanability,,,,,,,
235,bluzky,prana,claude,16,https://github.com/bluzky/prana/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Project Management,Implementation Details,Development Process,Maintanability,,,,,,,
236,jameshiew,infinigen,claude,82,https://github.com/jameshiew/infinigen/blob/main/CLAUDE.md,System Overview,Build & Run,Test,Architecture,Implementation Details,Performance,Configuration & Environment,,,,,,,,
237,PolicyEngine,microdf,claude,13,https://github.com/PolicyEngine/microdf/blob/master/CLAUDE.md,Implementation Details,Development Process,Test,Configuration & Environment,Documentation,Deployment and Operations,Debugging,,,,,,,,
238,mixpanel,mixpanel-android,copilot-instructions,1040,https://github.com/mixpanel/mixpanel-android/blob/master/.github/copilot-instructions.md,Implementation Details,Architecture,Test,System Overview,,,,,,,,,,,
239,Forneck,vitalia-reborn,copilot-instructions,7,https://github.com/Forneck/vitalia-reborn/blob/master/.github/copilot-instructions.md,System Overview,Development Process,Architecture,Implementation Details,Configuration & Environment,,,,,,,,,,
240,microsoft,Qcodes,copilot-instructions,396,https://github.com/microsoft/Qcodes/blob/main/.github/copilot-instructions.md,System Overview,Development Process,Test,Maintanability,,,,,,,,,,,
241,Nugine,const-str,copilot-instructions,106,https://github.com/Nugine/const-str/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Build & Run,Test,Implementation Details,Configuration & Environment,Development Process,Claude/AI Integration,Maintanability,,,,,,
242,CSUSTers,csust-got,copilot-instructions,11,https://github.com/CSUSTers/csust-got/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Build & Run,Test,Maintanability,,,,,,,,,
243,mhackermsft,BlazorAIChat,copilot-instructions,51,https://github.com/mhackermsft/BlazorAIChat/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Claude/AI Integration,Maintanability,,,,,,,,,,,
244,doggy8088,vscode-pangu2,copilot-instructions,10,https://github.com/doggy8088/vscode-pangu2/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Test,Debugging,Configuration & Environment,Build & Run,Deployment and Operations,,,,,,,
245,Azure,fleet,copilot-instructions,220,https://github.com/Azure/fleet/blob/main/.github/copilot-instructions.md,System Overview,Implementation Details,Architecture,Test,Development Process,,,,,,,,,,
246,kkweon,butler,copilot-instructions,5,https://github.com/kkweon/butler/blob/master/.github/copilot-instructions.md,Implementation Details,Architecture,Test,Development Process,Maintanability,,,,,,,,,,
247,microsoft,AzureTRE,copilot-instructions,213,https://github.com/microsoft/AzureTRE/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Configuration & Environment,Deployment and Operations,,,,,,,,,,
248,yinzhenyu-su,weekly-git-summary,copilot-instructions,190,https://github.com/yinzhenyu-su/weekly-git-summary/blob/main/.github/copilot-instructions.md,Configuration & Environment,Build & Run,Test,Architecture,Development Process,Deployment and Operations,Debugging,Performance,System Overview,Maintanability,,,,,
249,Azure,terraform-azurerm-avm-ptn-alz-management,copilot-instructions,19,https://github.com/Azure/terraform-azurerm-avm-ptn-alz-management/blob/main/.github/copilot-instructions.md,System Overview,Implementation Details,Architecture,Deployment and Operations,Development Process,Debugging,Claude/AI Integration,Maintanability,,,,,,,
250,FBartos,RoBMA,copilot-instructions,9,https://github.com/FBartos/RoBMA/blob/master/.github/copilot-instructions.md,Implementation Details,Test,,,,,,,,,,,,,
251,luno,luno-mcp,copilot-instructions,11,https://github.com/luno/luno-mcp/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,Test,Documentation,Security,Development Process,Claude/AI Integration,,,,,,,,
252,timrogers,litra-rs,copilot-instructions,90,https://github.com/timrogers/litra-rs/blob/main/.github/copilot-instructions.md,System Overview,Build & Run,Configuration & Environment,Test,Claude/AI Integration,Maintanability,,,,,,,,,
253,dotnet,dotnet-docker,copilot-instructions,4749,https://github.com/dotnet/dotnet-docker/blob/main/.github/copilot-instructions.md,Documentation,Build & Run,Test,Implementation Details,,,,,,,,,,,
254,JMBeresford,retrom,copilot-instructions,1402,https://github.com/JMBeresford/retrom/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Development Process,,,,,,,,,,,,
255,openfoodfacts,smooth-app,copilot-instructions,1160,https://github.com/openfoodfacts/smooth-app/blob/master/.github/copilot-instructions.md,System Overview,Build & Run,Configuration & Environment,Test,Development Process,Architecture,Debugging,Deployment and Operations,Performance,Maintanability,,,,,
256,SwitchbackTech,compass,copilot-instructions,198,https://github.com/SwitchbackTech/compass/blob/main/.github/copilot-instructions.md,,,,,,,,,,,,,,,
257,asgardeo,thunder,copilot-instructions,54,https://github.com/asgardeo/thunder/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Implementation Details,Documentation,Test,,,,,,,,,,
258,FidelusAleksander,ghcertified,copilot-instructions,792,https://github.com/FidelusAleksander/ghcertified/blob/master/.github/copilot-instructions.md,Architecture,System Overview,Build & Run,UI/UX,,,,,,,,,,,
259,IntelliTect,EssentialCSharp.Web,copilot-instructions,8,https://github.com/IntelliTect/EssentialCSharp.Web/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Test,Build & Run,Configuration & Environment,Development Process,Security,Performance,Project Management,Implementation Details,,,,,
260,camunda,camunda,copilot-instructions,3830,https://github.com/camunda/camunda/blob/main/.github/copilot-instructions.md,System Overview,Build & Run,Test,Implementation Details,Security,Development Process,Deployment and Operations,,,,,,,,
261,dotnet,docs,copilot-instructions,4554,https://github.com/dotnet/docs/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Implementation Details,Development Process,,,,,,,,,,,,
262,GH-Event-Demos,gitvision-workshop,copilot-instructions,11,https://github.com/GH-Event-Demos/gitvision-workshop/blob/main/.github/copilot-instructions.md,System Overview,Security,Implementation Details,Architecture,Test,Claude/AI Integration,,,,,,,,,
263,adamsilverstein,wp-performance-wizard,copilot-instructions,5,https://github.com/adamsilverstein/wp-performance-wizard/blob/main/.github/copilot-instructions.md,Implementation Details,,,,,,,,,,,,,,
264,microsoft,vscode-docs,copilot-instructions,6203,https://github.com/microsoft/vscode-docs/blob/main/.github/copilot-instructions.md,Documentation,,,,,,,,,,,,,,
265,PlagueHO,foundryvtt-azure,copilot-instructions,7,https://github.com/PlagueHO/foundryvtt-azure/blob/main/.github/copilot-instructions.md,Build & Run,Development Process,Architecture,Implementation Details,,,,,,,,,,,
266,invokable,laravel-line-sdk,copilot-instructions,20,https://github.com/invokable/laravel-line-sdk/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Configuration & Environment,Implementation Details,Test,Build & Run,Development Process,Deployment and Operations,,,,,,,
267,dotnet,docs-aspire,copilot-instructions,159,https://github.com/dotnet/docs-aspire/blob/main/.github/copilot-instructions.md,Documentation,Claude/AI Integration,Implementation Details,,,,,,,,,,,,
268,philips-software,roslyn-analyzers,copilot-instructions,55,https://github.com/philips-software/roslyn-analyzers/blob/main/.github/copilot-instructions.md,System Overview,Build & Run,Development Process,Architecture,Implementation Details,Performance,Debugging,Claude/AI Integration,Test,Deployment and Operations,,,,,
269,xability,maidr,copilot-instructions,15,https://github.com/xability/maidr/blob/main/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Implementation Details,Maintanability,,,,,,,,,,
270,triggerdotdev,trigger.dev,copilot-instructions,12616,https://github.com/triggerdotdev/trigger.dev/blob/main/.github/copilot-instructions.md,System Overview,Implementation Details,,,,,,,,,,,,,
271,srbhr,Resume-Matcher,copilot-instructions,23637,https://github.com/srbhr/Resume-Matcher/blob/main/.github/copilot-instructions.md,Claude/AI Integration,Architecture,System Overview,Development Process,Implementation Details,Test,Security,Configuration & Environment,Deployment and Operations,Performance,Debugging,,,,
272,carlocardella,vscode-TextToolbox,copilot-instructions,12,https://github.com/carlocardella/vscode-TextToolbox/blob/master/.github/copilot-instructions.md,System Overview,Claude/AI Integration,Documentation,Development Process,Deployment and Operations,Maintanability,UI/UX,Implementation Details,,,,,,,
273,microsoft,typespec,copilot-instructions,5427,https://github.com/microsoft/typespec/blob/main/.github/copilot-instructions.md,System Overview,Configuration & Environment,Build & Run,Test,Maintanability,Development Process,Architecture,Performance,Project Management,Debugging,,,,,
274,Catfriend1,syncthing-lite,copilot-instructions,98,https://github.com/Catfriend1/syncthing-lite/blob/main/.github/copilot-instructions.md,Architecture,Implementation Details,Claude/AI Integration,Build & Run,Maintanability,,,,,,,,,,
275,aborruso,scrape-cli,copilot-instructions,20,https://github.com/aborruso/scrape-cli/blob/master/.github/copilot-instructions.md,System Overview,Architecture,Development Process,Implementation Details,Claude/AI Integration,,,,,,,,,,
276,microsoft,FluidFramework,copilot-instructions,4874,https://github.com/microsoft/FluidFramework/blob/main/.github/copilot-instructions.md,Implementation Details,,,,,,,,,,,,,,
277,microsoft,mcp,copilot-instructions,2010,https://github.com/microsoft/mcp/blob/main/.github/copilot-instructions.md,Implementation Details,Development Process,,,,,,,,,,,,,
